Abundance of Operational Taxonomic Units (OTUs) in each sample from ITS2 region Illumina sequencing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOTU_ID,OTU_ID_orig,m1_bk_1a,m1_bk_1b,m1_bk_1c,m1_bk_2a,m1_bk_2b,m1_bk_2c,m1_bk_3a,m1_bk_3b,m1_bk_3c,m1_lf_1a,m1_lf_1b,m1_lf_1c,m1_lf_2a,m1_lf_2b,m1_lf_2c,m1_lf_3a,m1_lf_3b,m1_lf_3c,m1_lp_1a,m1_lp_1b,m1_lp_1c,m1_lp_2a,m1_lp_2b,m1_lp_2c,m1_lp_3a,m1_lp_3b,m1_lp_3c,m1_rp_1a,m1_rp_1b,m1_rp_1c,m1_rp_2a,m1_rp_2b,m1_rp_2c,m1_rp_3a,m1_rp_3b,m1_rp_3c,m1_rt_1a,m1_rt_1b,m1_rt_1c,m1_rt_2a,m1_rt_2b,m1_rt_2c,m1_rt_3a,m1_rt_3b,m1_rt_3c,m1_rz_1a,m1_rz_1b,m1_rz_1c,m1_rz_2a,m1_rz_2b,m1_rz_2c,m1_rz_3a,m1_rz_3b,m1_rz_3c,m1_s1,m1_s2,m1_s3,m1_w1,m1_w2,m1_w3,m1_w4,m1_w5,m2_bk_1a,m2_bk_1b,m2_bk_1c,m2_bk_2a,m2_bk_2b,m2_bk_2c,m2_bk_3a,m2_bk_3b,m2_bk_3c,m2_lf_1a,m2_lf_1b,m2_lf_1c,m2_lf_2a,m2_lf_2b,m2_lf_2c,m2_lf_3a,m2_lf_3b,m2_lf_3c,m2_lp_1a,m2_lp_1b,m2_lp_1c,m2_lp_2a,m2_lp_2b,m2_lp_2c,m2_lp_3a,m2_lp_3b,m2_lp_3c,m2_rp_1a,m2_rp_1b,m2_rp_1c,m2_rp_2a,m2_rp_2b,m2_rp_2c,m2_rp_3a,m2_rp_3b,m2_rp_3c,m2_rt_1a,m2_rt_1b,m2_rt_1c,m2_rt_2a,m2_rt_2b,m2_rt_2c,m2_rt_3a,m2_rt_3b,m2_rt_3c,m2_rz_1a,m2_rz_1b,m2_rz_1c,m2_rz_2a,m2_rz_2b,m2_rz_2c,m2_rz_3a,m2_rz_3b,m2_rz_3c,m2_s1,m2_s2,m2_s3,m2_w1,m2_w2,m2_w3,m2_w4,m2_w5,m3_bk_1a,m3_bk_1b,m3_bk_1c,m3_bk_2a,m3_bk_2b,m3_bk_2c,m3_bk_3a,m3_bk_3b,m3_bk_3c,m3_lf_1a,m3_lf_1b,m3_lf_1c,m3_lf_2a,m3_lf_2b,m3_lf_2c,m3_lf_3a,m3_lf_3b,m3_lf_3c,m3_lp_1a,m3_lp_1b,m3_lp_2a,m3_lp_2b,m3_lp_2c,m3_lp_3a,m3_lp_3b,m3_lp_3c,m3_rp_1a,m3_rp_1b,m3_rp_1c,m3_rp_2a,m3_rp_2b,m3_rp_2c,m3_rp_3a,m3_rp_3b,m3_rp_3c,m3_rt_1a,m3_rt_1b,m3_rt_1c,m3_rt_2a,m3_rt_2b,m3_rt_2c,m3_rt_3a,m3_rt_3b,m3_rt_3c,m3_rz_1a,m3_rz_1b,m3_rz_1c,m3_rz_2a,m3_rz_2b,m3_rz_2c,m3_rz_3a,m3_rz_3b,m3_rz_3c,m3_s1,m3_s2,m3_s3,m3_w1,m3_w2,m3_w3,m3_w4,m3_w5,m4_bk_1a,m4_bk_1b,m4_bk_1c,m4_bk_2a,m4_bk_2b,m4_bk_2c,m4_bk_3a,m4_bk_3b,m4_bk_3c,m4_lf_1a,m4_lf_1b,m4_lf_1c,m4_lf_2a,m4_lf_2b,m4_lf_2c,m4_lf_3a,m4_lf_3b,m4_lf_3c,m4_lp_1a,m4_lp_1b,m4_lp_1c,m4_lp_2a,m4_lp_2b,m4_lp_2c,m4_lp_3a,m4_lp_3b,m4_lp_3c,m4_rp_1a,m4_rp_1b,m4_rp_1c,m4_rp_2a,m4_rp_2b,m4_rp_2c,m4_rp_3a,m4_rp_3b,m4_rp_3c,m4_rt_1a,m4_rt_1b,m4_rt_1c,m4_rt_2a,m4_rt_2b,m4_rt_2c,m4_rt_3a,m4_rt_3b,m4_rt_3c,m4_rz_1a,m4_rz_1b,m4_rz_1c,m4_rz_2a,m4_rz_2b,m4_rz_2c,m4_rz_3a,m4_rz_3b,m4_rz_3c,m4_s1,m4_s2,m4_s3,m4_w1,m4_w2,m4_w3,m4_w4,m4_w5
FOTU1,b366b0f076acc81f04f9fc043b874771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOTU2,644b107c5d20a4ad3dc8a98030fa2256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOTU3,6024e33dfe64c5baa8b67368de80f012,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOTU4,6f16e4c8afaa67bc3959b2d77e911dc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOTU5,ec77f312a4ed5037fbc0d8bbe7d3a72a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOTU6,33d3c3943de3727ac156682e131d716f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOTU7,0dfa725bfc11c720c5a0a3c38bd013db,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOTU8,1035273b98b31f9355baa80d956595ef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOTU9,427f0ebd266448e1e87196718fba7146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOTU10,5eacc52e747e2e78a6771052521e8fbc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
