Taxonomic information of Operational Taxonomic Units (OTUs) from 16S rRNA gene V4 region Illumina sequencing,,,,,,,,
POTU_ID,OTU_ID_orig,Domain,Phylum,Class,Order,Family,Genus,Species
POTU1,6007b5302d1f447bc3e53ad8c414c1b5,d__Bacteria,,,,,,
POTU2,ee8509b367b67599acebeea9873dcd4e,d__Bacteria,,,,,,
POTU3,644a73d9160a760a7aa3b3a7fd5e8f35,d__Bacteria,,,,,,
POTU4,3d5f46a31fb214245e735a74cd7dacb6,d__Bacteria,,,,,,
POTU5,e62eae3cf1b33746eaccb192b94f98e1,d__Bacteria,,,,,,
POTU6,07d2f18e680155ce6ce7123b479afdc1,d__Bacteria,,,,,,
POTU7,b782ca0b67b540f92de108955cf97005,d__Bacteria,,,,,,
POTU8,a03b3da569ef4cfad77231201b1d1c20,d__Bacteria,,,,,,
POTU9,30e224e7c75555de6def7b8ebb336bd4,d__Bacteria,,,,,,
POTU10,8780ec0a4f2d5016a4a818fa1e17f5f4,d__Bacteria,,,,,,
POTU11,e83fec6fb036b4c460bbb7c92e70e161,d__Bacteria,,,,,,
POTU12,ed8255046425552690d15ab4e8f17479,d__Bacteria,,,,,,
POTU13,22a5694bebc21f1f838d0225a88ae158,d__Bacteria,,,,,,
POTU14,402d94aa78971ce5d53904fab107702e,d__Bacteria,,,,,,
POTU15,2afb3a3d8a7d20e5d000162677850e2e,d__Bacteria,,,,,,
POTU16,e3ce1bc7e14b4546cdb159615a14dd10,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,,,,
POTU17,98a82ed18afb11cabb728c175397145a,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,,,
POTU18,2d193779c4adb26d15799b8b431d4c2b,d__Bacteria,p__Proteobacteria,,,,,
POTU19,a3a170383ae3cd2ce9543eb8caf00e0b,d__Bacteria,p__Proteobacteria,,,,,
POTU20,68f5950efdf078ced057b2978c93873b,d__Bacteria,,,,,,
POTU21,c32fbaf21b3366f34331632ccd2096c4,d__Bacteria,,,,,,
POTU22,c5a8b88754aedd714cff39b7e23efb1d,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,,,,
POTU23,7bc3e46234e1253914a1d7938762793a,d__Bacteria,,,,,,
POTU24,3927cb0cd30a22191f0a7a0d3847a1f3,d__Bacteria,,,,,,
POTU25,2b6f456e8c2e8bc95aca0dbfe08907bf,d__Bacteria,p__Proteobacteria,,,,,
POTU26,f3a8024cd652a539e1449a3f6cb512af,d__Bacteria,,,,,,
POTU27,471bfaac9b02e1498474323278e6b0c7,d__Bacteria,,,,,,
POTU28,86b41fa4ae1b3ec26f0e650b14ae0dbd,d__Bacteria,,,,,,
POTU29,b14455bfacc6fb8189b6e2e2ebe63840,d__Bacteria,,,,,,
POTU30,a47828700a5651817da21910bcd90f73,d__Bacteria,,,,,,
POTU31,716c68bfcbdf1941981549c68f119ff6,d__Bacteria,,,,,,
POTU32,b7fd5d39ff3279064279e3828fd1d4e1,d__Bacteria,,,,,,
POTU33,b6e3cd6ad83e835a70dc2d3565b815dd,d__Bacteria,,,,,,
POTU34,f5ec8663527cd60b2027fcb8da3d9aa8,d__Bacteria,,,,,,
